anno,territorio,livello_territoriale,categoria_sport,n_spettacoli,persone,media_ps,botteghino,pubblico
2007,Basilicata,regione,Attività sportiva,833.0,196132.0,,,
2007,Calabria,regione,Attività sportiva,2599.0,628717.0,,,
2007,Campania,regione,Attività sportiva,9009.0,2010314.0,,,
2007,Molise,regione,Attività sportiva,837.0,65721.0,,,
2007,Puglia,regione,Attività sportiva,5653.0,1127088.0,,,
2007,Sardegna,regione,Attività sportiva,3377.0,566094.0,,,
2007,Sicilia,regione,Attività sportiva,4517.0,1409285.0,,,
2005,Liguria,regione,Attività sportiva,2836.0,540751.0,,,
2005,Lombardia,regione,Attività sportiva,34103.0,5318503.0,,,
2005,Piemonte,regione,Attività sportiva,16671.0,2535668.0,,,
2005,Valle d'Aosta,regione,Attività sportiva,206.0,12872.0,,,
2005,Emilia-Romagna,regione,Attività sportiva,15674.0,1695702.0,,,
2005,Friuli- Venezia Giulia,regione,Attività sportiva,5574.0,524709.0,,,
2005,Trentino-Alto Adige,regione,Attività sportiva,1952.0,239640.0,,,
2005,Veneto,regione,Attività sportiva,12844.0,1155032.0,,,
2005,Lazio,regione,Attività sportiva,3123.0,2670445.0,,,
2005,Marche,regione,Attività sportiva,6659.0,545667.0,,,
2005,Toscana,regione,Attività sportiva,25209.0,2438012.0,,,
2005,Umbria,regione,Attività sportiva,3612.0,286242.0,,,
2005,Abruzzo,regione,Attività sportiva,2595.0,352704.0,,,
2005,Basilicata,regione,Attività sportiva,733.0,96443.0,,,
2005,Calabria,regione,Attività sportiva,958.0,284175.0,,,
2005,Campania,regione,Attività sportiva,2689.0,1374872.0,,,
2005,Molise,regione,Attività sportiva,528.0,39289.0,,,
2005,Puglia,regione,Attività sportiva,2136.0,538920.0,,,
2005,Sardegna,regione,Attività sportiva,2441.0,450189.0,,,
2005,Sicilia,regione,Attività sportiva,1633.0,504716.0,,,
2004,Liguria,regione,Attività sportiva,3413.0,587547.0,,,
2004,Lombardia,regione,Attività sportiva,38483.0,4138675.0,,,
2004,Piemonte,regione,Attività sportiva,18356.0,2322344.0,,,
2004,Valle d'Aosta,regione,Attività sportiva,236.0,17411.0,,,
2004,Emilia-Romagna,regione,Attività sportiva,20950.0,1880300.0,,,
2004,Friuli- Venezia Giulia,regione,Attività sportiva,6427.0,410357.0,,,
2004,Trentino-Alto Adige,regione,Attività sportiva,2239.0,258016.0,,,
2004,Veneto,regione,Attività sportiva,16685.0,1325956.0,,,
2004,Lazio,regione,Attività sportiva,3983.0,2193370.0,,,
2004,Marche,regione,Attività sportiva,9212.0,753904.0,,,
2004,Toscana,regione,Attività sportiva,30482.0,2649024.0,,,
2004,Umbria,regione,Attività sportiva,4600.0,407401.0,,,
2004,Abruzzo,regione,Attività sportiva,3536.0,435143.0,,,
2004,Basilicata,regione,Attività sportiva,768.0,153766.0,,,
2004,Calabria,regione,Attività sportiva,1043.0,338544.0,,,
2004,Campania,regione,Attività sportiva,3112.0,1124721.0,,,
2004,Molise,regione,Attività sportiva,505.0,44556.0,,,
2004,Puglia,regione,Attività sportiva,2910.0,619936.0,,,
2004,Sardegna,regione,Attività sportiva,3104.0,544452.0,,,
2004,Sicilia,regione,Attività sportiva,2377.0,790446.0,,,
2006,Liguria,regione,Attività sportiva,2448.0,876817.0,,,
2006,Lombardia,regione,Attività sportiva,32833.0,5968157.0,,,
2006,Piemonte,regione,Attività sportiva,16991.0,2837157.0,,,
2006,Valle d'Aosta,regione,Attività sportiva,236.0,10901.0,,,
2006,Emilia-Romagna,regione,Attività sportiva,16210.0,2344211.0,,,
2006,Friuli- Venezia Giulia,regione,Attività sportiva,5764.0,574060.0,,,
2006,Trentino-Alto Adige,regione,Attività sportiva,2021.0,261306.0,,,
2006,Veneto,regione,Attività sportiva,12822.0,1268107.0,,,
2006,Lazio,regione,Attività sportiva,2944.0,2644242.0,,,
2006,Marche,regione,Attività sportiva,6916.0,663097.0,,,
2006,Toscana,regione,Attività sportiva,25870.0,3046189.0,,,
2006,Umbria,regione,Attività sportiva,3841.0,304452.0,,,
